Name	Set	ImageFile	Type	Rarity	Speed	Power	Imp/Inf	Cost/Val
Pvt. Garstin	T	T230	Character - Main: Resistance	C	2	4		
Pvt. Gentii	T	T231	Character - Supporting	R	2	3	0	
Pvt. Grey	T	T232	Character - Main: Resistance	U	3	3		
Quick Deployment	T	T233	Event	C				
Raging Inferno	T	T234	Event	R				
Rational Explanation	T	T235	Event	C				
Raze	T	T236	Event	C				
Recon Infiltrator	T	T237	Character - Main: SkyNet	C	3	5	3	8
Reconnaissance	T	T238	Mission	U				
Reconstructive Nanites	T	T239	Item - SkyNet	C				2
Recycling Operation	T	T240	Mission	R				
Refractive Cloaking Armor	T	T241	Item	R				
Reinforced Hardpoint	T	T242	Event	R				
Reinforced Structure	T	T243	Event	U				
Reinforcements	T	T244	Condition	R				
Relentless	T	T245	Event	C				
Reload	T	T246	Event	C				
Remington 870	T	T247	Item	C				
Remote Tactical Uplink	T	T248	Item	U				
Rerouting Emergency Power	T	T249	Event	R				*
Research & Development Facility	T	T250	Location: Exterior	U				
Resistance Private	T	T251	Character - Main: Resistance	C	2	3		
Retractable Claws	T	T252	Item - SkyNet	C				2
Retroviral Engineering	T	T253	Location: Exterior	R				
Rewriting History	T	T254	Event	C				
Right Off The Assembly Line	T	T255	Event	U				
Rook II	T	T256	Character - Main: Resistance	U	4	2		
Rubber Skin	T	T257	Event	R				
Rubble Hills	T	T258	Location: Exterior	C				
Ruined Flesh	T	T259	Event	C				
Ruined Street	T	T260	Location: Exterior	C				
Run!	T	T261	Event	C				
Running Battle	T	T262	Condition	U				
S.W.A.T. Tactical Officer	T	T263	Character - Supporting	R	3	3	1	
Safehouse	T	T264	Event	R				
Salvage Operation	T	T265	Mission	R				
Sarah J. Connor [3-2-2]	T	T266	Character - Supporting	R	3	2	2	
Sarah J. Connor [3-2-5]	T	T267	Character - Supporting	S	3	2	5	
Sarah Louise Connor, Mother of Two	T	T268	Character - Supporting	R	2	2	0	
Sarge	T	T269	Character - Supporting	R	3	3	0	
Savagery	T	T270	Event	C				
Scatter	T	T271	Event	C				1
Schematic Download	T	T272	Event	U				
Scouting Mission	T	T273	Event	C				1
Search Pattern	T	T274	Event	U				
Sentinel	T	T275	Event	R				
Servo-Admin Drone	T	T276	Character - Main: SkyNet	R	2	4		1
Sewage Tunnel Entrance	T	T277	Location: Exterior	C				
Sewer	T	T278	Location: Interior	S				
Sgt. Hannum	T	T279	Character - Main: Resistance	R	2	4		
Sgt. Kyle Reese [3-3]	T	T280	Character - Main: Resistance	S	3	3		
Sgt. Kyle Reese [3-4]	T	T281	Character - Main: Resistance	R	3	4		
Sgt. Maj. Jensen	T	T282	Character - Main: Resistance	U	3	3		
Shattered Hope	T	T283	Event	C				1
Shifting Sands	T	T284	Event	U				
Sixth Sense	T	T285	Event	U				
Skills Upgrade: Basic Training	T	T286	Item - SkyNet	U				3
Skills Upgrade: Marksman	T	T287	Item - SkyNet	C				2
Skills Upgrade: Medical Training	T	T288	Item - SkyNet	C				2
Skills Upgrade: Tactical Database	T	T289	Item - SkyNet	R				4
Skills Upgrade: Veteran	T	T290	Item - SkyNet	U				2
Slagged Gear	T	T291	Event	U				
Spread the Word	T	T292	Mission	U				
Staff Lunchroom	T	T293	Location: Interior	C				
Staggered Formation	T	T294	Event	U				
Stay Frosty	T	T295	Event	C				
Steel Mill	T	T296	Location: Exterior	U				
Storage Cell	T	T297	Event	U				
Storm the Wires	T	T298	Mission	C				
Street Punk	T	T299	Character - Supporting	S	2	3	1	
Stronghold Mechanic	T	T300	Character - Supporting	U	2	2	1	
Subdermal Armor: Level 1	T	T301	Item - SkyNet	U				2
Suburban House	T	T302	Location: Exterior	S				
Suburban Street	T	T303	Location: Exterior	S				
Successful Infiltration	T	T304	Mission	C				
Suicidal Tendencies	T	T305	Event	R				
Sunglasses	T	T306	Item	C				
Surplus Depot	T	T307	Location: Exterior	R				
Switchblade	T	T308	Item	C				
Tactical Analysis	T	T309	Mission	R				
Tactical Command Unit	T	T310	Character - Main: SkyNet	R	4	9		14
Tactical Error	T	T311	Event	U				
Tactical Formation	T	T312	Event	U				
Tactical Infiltrator	T	T313	Character - Main: SkyNet	U	4	7	3	10
Target Acquired	T	T314	Event	C				
Targeting System Failure	T	T315	Event	C				
Tech Noir	T	T316	Location: Exterior	S				
Technical Malfunction	T	T317	Event	R				*
The Pass	T	T318	Location: Exterior	R				
There's a Storm Coming...	T	T319	Event	R				
Tiki Motel	T	T320	Location: Exterior	S				
Time Displacement Laboratory	T	T321	Location: Exterior	U				
Time Lab Discovered!	T	T322	Mission	U				
Toxin Coated Spikes	T	T323	Item - SkyNet	U				3
Trash Warrens	T	T324	Location: Exterior	U				
Trench Warfare	T	T325	Mission	C				
Trenchcoat	T	T326	Item	U				
Twist of Fate	T	T327	Event	C				
Underground Archives	T	T328	Location: Interior	R				
Unit Construction Zone	T	T329	Location: Exterior	R				
Unit Deployment	T	T330	Event	C				
Unpredictability	T	T331	Event	U				1
Up Close and Personal	T	T332	Event	C				
Urban Ground Assault Unit	T	T333	Character - Main: SkyNet	R	2	9		15
Urgency	T	T334	Condition	U				
UZI 9mm	T	T335	Item	R				
Vantage Point	T	T336	Location: Exterior	R				
Vicious Attack	T	T337	Event	C				
Victory Through Attrition	T	T338	Mission	R				
Viral Contamination	T	T339	Event	R				
Walking in Shadows	T	T340	Event	U				
Wanted	T	T341	Event	R				
Well Rested	T	T342	Event	U				
WetWare Processing Facility	T	T343	Location: Exterior	U				
What Will It Be?	T	T344	Event	C				
What's the Date?	T	T345	Event	U				
When Animals Attack	T	T346	Event	R				
When In Doubt	T	T347	Event	C				
Your Clothes...	T	T348	Event	C				
Hidden Token	T	"T349, T349b"	Token					
